name,number,material,thickness,length,width,bend_nums,radius,tool_exchange,side,schroder,henra,special,weight
Podłużnica Lewa,206.100.003L,OCYNK,3,4440,291,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,30.43
Podłużnica Prawa,206.100.003P,OCYNK,3,4440,291,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,30.43
Wzmocnienie,206.100.01.10,OCYNK,2.5,208,135,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.55
Wzmocnienie,206.100.01.20,OCYNK,2.5,208,135,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.55
Belka boczna,206.101.01.10,OCYNK,3,4450,285,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,29.87
Prowadnica,21.50.000.01.06,OCYNK,1.5,1845,296.8,6,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,6.45
Wspornik,210.000.00.03,OCYNK,2,122,110.5,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.21
Narożnik,210.000.00.06,CZARNA,2.5,206,150.4,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.61
Maskownica naroża,210.000.00.22,ALU,2,154,144.4,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.12
Maskownica naroża,210.000.00.23,ALU,2,169,156.5,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.14
Daszek,210.000.00.39,ALU,2,1286,104.2,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.72
Słupek tylny,210.000.01.10,ALU,2,1708,128.5,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.18
Słupek tylny,210.000.01.20,ALU,2,1708,128.5,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.18
Narożnik,210.000.07.10,CZARNA,2.5,206,151.4,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.61
Narożnik,210.000.07.20,CZARNA,2.5,206,151.4,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.61
Kątownik przedni dolny,210.000.10.00,OCYNK,2,1280,121.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.44
Kątownik przedni górny,210.000.13.00,ALU,3,1279,94.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.97
Listwa górna tylna,210.000.14.00,ALU,3,1284,133.6,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.39
Daszek,210.000.17.00,ALU,2,1286,104.2,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.72
Kątownik tylny górny,210.000.18.00,ALU,3,1169,40.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.38
Listwa drzwi pionowa,210.004.00.01,OCYNK,1,1396,44.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.49
Listwa drzwi pozioma,210.004.00.02,OCYNK,1,1135,44.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.4
Belka przednia,210.100.00.31,OCYNK,2,1282,225.5,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.54
Belka wsporcza,210.100.00.33,OCYNK,3,1170,168.7,3,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.65
Tablica,210.100.01.00,OCYNK,2,1278,335,6,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,6.72
Tablica,210.100.03.00,OCYNK,2,1278,365,6,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,7.32
Belka poprzeczna dyszla,210.120.00.01,OCYNK,2.5,852,128.8,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.15
ZN podłużnicy,210.999.01.10,OCYNK,3,1485,146.2,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.11
Daszek,211.000.00.20,ALU,2,1516,104.2,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.85
Wzmocnienie tablicy,211.000.13.10,OCYNK,3,245,293.6,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.69
Wzmocnienie tablicy,211.000.13.20,OCYNK,3,245,293.6,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.69
Kątownik przedni dolny,211.000.14.00,OCYNK,2,1500,121.5,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.86
Słupek przedni,211.000.18.10,ALU,3,1562,94.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.19
Listwa górna boczna,211.000.19.00,ALU,3,2201,94.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.68
Listwa górna tylna,211.000.20.00,ALU,3,1490,132.6,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.6
Słupek tylny,211.000.21.10,ALU,3,1728,128.1,2,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.79
Daszek,211.000.22.00,ALU,2,1490,104.2,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.84
Kątownik tylny górny,211.000.23.00,ALU,3,1389,40.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.45
Kątownik przedni górny,211.000.24.00,ALU,3,1490,94.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.14
Najazd ALU,211.002.00.01,ALU RYFL,3.7,962,329.4,5,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.17
Wzmocnienie najazdu ALU,211.002.00.02,ALU RYFL,3.7,199,107.8,1,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.21
Dolne gniazdo najazdu,211.002.00.03,ALU RYFL,3.7,60,134.2,2,5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.08
Listwa drzwi pozioma,211.004.03.00,OCYNK,1,664,44.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.23
Wzmocnienie drzwi,211.004.05.00,OCYNK,1.5,1350,104.9,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.67
Podłużnica,211.100.01.10,OCYNK,2,2207,263.5,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,9.13
Podłużnica,211.100.01.20,OCYNK,2,2207,263.5,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,9.13
Belka wsporcza,211.100.02.00,OCYNK,3,1390,168.7,3,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.52
Wzmocnienie pod oś,211.100.03.00,OCYNK,2.5,300,120,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.71
Tablica,211.100.04.00,OCYNK,2,1497,335,6,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,7.87
Tablica,211.100.05.00,OCYNK,2,1497,365,6,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,8.58
Wzmocnienie,211.100.06.10,OCYNK,3,1100,118.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.06
Wzmocnienie,211.100.06.20,OCYNK,3,1100,118.1,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.06
Uchwyt mocowań,212.000.00.02,OCYNK,2.5,2485,118.5,4,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,5.78
Kątownik górny boczny,212.001.00.02,CZARNA,1.5,2416,97.2,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,2.77
Kątownik górny przedni,212.001.00.08,CZARNA,2,1284,94,1,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.89
Daszek,212.001.00.11,OCYNK,2,1275,97.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,1.96
Ramka drzwi pion,212.003.00.02,OCYNK,1,1425,44.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.5
Ramka drzwi poziom,212.003.00.03,OCYNK,1,550,44.9,2,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.19
Poprzeczka górna,212.003.00.07,CZARNA,2,1285,166.5,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.36
Słupek zewnętrzny tylny,212.003.03.10,CZARNA,2,1715,167,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.5
Słupek zewnętrzny tylny,212.003.03.20,CZARNA,2,1715,167,3,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,4.5
Wspornik,212.005.00.05,OCYNK,2,1310,180,4,1.5,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,3.7
Mocowanie sprężyny,212.005.00.07,OCYNK,3,190,90,1,3,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,FAŁSZ,0.4
